country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,23.3,23.3,53.3,1458,3568,-2110,5.3,68.6,8.2,3.3,61.6,42,2.1,63,5
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,22.4,26,51.7,1962,4669,-2707,1.7,14.6,5.9,3.5,106.4,130,28.2,84,36
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,12.2,37.3,50.5,29992,47091,-17099,3,27.7,7.2,...,113,135,0.8,5900,55
American Samoa,Polynesia,199,56,278.2,103.6,-99,-99,-99,-99,-99,-99,-99,2.6,9.6,-99,-99,...,92,87.9,-99,-99
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.5,10.8,88.6,100,1355,-1255,1.2,-99,8.1,3.3,88.1,13,34,1,119
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,6.8,51.2,42,21011,8790,12221,6,65.4,3.3,...,60.8,146,46.5,3902,25
Anguilla,Caribbean,91,15,165.7,97.6,320,2.3,15.7,82,2,154,-153,...,-99,-99,...,177.9,52,61.1,0,136
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,1.9,18.3,79.8,61,491,-429,2.1,9.1,5.5,...,137.2,55,22.3,-99,84
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,6,27.8,66.2,57733,55610,2124,2.3,13.7,4.8,5.3,143.9,256,10,3167,85
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,19,28.3,52.8,1776,3230,-1455,1.6,13.2,4.5,2.8,115.2,114,11.7,48,46
